,verse,text,category,pericope
176,Matthew 12:31-37,"
Therefore I tell you, every sin and blasphemy will be forgiven men, but the blasphemy against the Spirit will not be forgiven men.


Whoever speaks a word against the Son of Man, it will be forgiven him; but whoever speaks against the Holy Spirit, it will not be forgiven him, neither in this age, nor in that which is to come.

“Either make the tree good, and its fruit good, or make the tree corrupt, and its fruit corrupt; for the tree is known by its fruit.


You offspring of vipers, how can you, being evil, speak good things? For out of the abundance of the heart, the mouth speaks.


The good man out of his good treasure brings out good things, and the evil man out of his evil treasure
brings out evil things.


I tell you that every idle word that men speak, they will give account of it in the day of judgment.


For by your words you will be justified, and by your words you will be condemned.”
",ministry-in-galilee,The Sin against the Holy Spirit
177,Matthew 7:16-20,"
By their fruits you will know them. Do you gather grapes from thorns, or figs from thistles?


Even so, every good tree produces good fruit; but the corrupt tree produces evil fruit.


A good tree can’t produce evil fruit, neither can a corrupt tree produce good fruit.


Every tree that doesn’t grow good fruit is cut down, and thrown into the fire.


Therefore by their fruits you will know them.

",ministry-in-galilee,The Sin against the Holy Spirit
178,Mark 3:28-30,"
Most certainly I tell you, all sins of the descendants of man will be forgiven, including their blasphemies with which they may blaspheme;


but whoever may blaspheme against the Holy Spirit never has forgiveness, but is subject to eternal condemnation.”

—because they said, “He has an unclean spirit.”
",last-journey-to-jerusalem;ministry-in-galilee,The Sin against the Holy Spirit
179,Luke 12:10,"
Everyone who speaks a word against the Son of Man will be forgiven, but those who blaspheme against the Holy Spirit will not be forgiven.

",last-journey-to-jerusalem;ministry-in-galilee,The Sin against the Holy Spirit
180,Luke 6:43-45,"
For there is no good tree that produces rotten fruit; nor again a rotten tree that produces good fruit.


For each tree is known by its own fruit. For people don’t gather figs from thorns, nor do they gather grapes from a bramble bush.


The good man out of the good treasure of his heart brings out that which is good, and the evil man out of the evil treasure of his heart brings out that which is evil, for out of the abundance of the heart, his mouth speaks.
",sermon-of-the-mount;ministry-in-galilee;sermon-of-the-plain,"The Test of a Good Person, “By their Fruits”"
181,Matthew 12:38-42,"Then certain of the scribes and Pharisees answered, “Teacher, we want to see a sign from you.”
But he answered them,
“An evil and adulterous generation seeks after a sign, but no sign will be given to it but the sign of Jonah the prophet.


For as Jonah was three days and three nights in the belly of the whale, so will the Son of Man be three days and three nights in the heart of the earth.


The men of Nineveh will stand up in the judgment with this generation, and will condemn it, for they repented at the preaching of Jonah; and behold, someone greater than Jonah is here.


The queen of the south will rise up in the judgment with this generation, and will condemn it, for she came from the ends of the earth to hear the wisdom of Solomon; and behold, someone greater than Solomon is here.

",last-journey-to-jerusalem;ministry-in-galilee,The Sign of Jonah
182,Matthew 16:1-4,"The Pharisees and Sadducees came, and testing him, asked him to show them a sign from heaven.
But he answered them,
“When it is evening, you say, ‘It will be fair weather, for the sky is red.’


In the morning, ‘It will be foul weather today, for the sky is red and threatening.’ Hypocrites! You know how to discern the appearance of the sky, but you can’t discern the signs of the times!


An evil and adulterous generation seeks after a sign, and there will be no sign given to it, except the sign of the prophet Jonah.”
He left them, and departed.
",ministry-in-galilee,The Pharisees Seek a Sign
183,Mark 8:11-12,"The Pharisees came out and began to question him, seeking from him a sign from heaven, and testing him.
He sighed deeply in his spirit, and said,
“Why does this generation

seek a sign? Most certainly I tell you, no sign will be given to this generation.”
",last-journey-to-jerusalem;ministry-in-galilee,The Sign of Jonah
184,Luke 11:16,"Others, testing him, sought from him a sign from heaven.
",ministry-in-galilee,The Pharisees Seek a Sign
185,Luke 11:29-32,"When the multitudes were gathering together to him, he began to say,
“This is an evil generation. It seeks after a sign. No sign will be given to it but the sign of Jonah, the prophet.


For even as Jonah became a sign to the Ninevites, so will also the Son of Man be to this generation.


The Queen of the South will rise up in the judgment with the men of this generation, and will condemn them: for she came from the ends of the earth to hear the wisdom of Solomon; and behold, one greater than Solomon is here.


The men of Nineveh will stand up in the judgment with this generation, and will condemn it: for they repented at the preaching of Jonah, and behold, one greater than Jonah is here.
",last-journey-to-jerusalem;ministry-in-galilee,The Sign of Jonah
186,Matthew 12:43-45,"
When an unclean spirit has gone out of a man, he passes through waterless places, seeking rest, and doesn’t find it.


Then he says, ‘I will return into my house from which I came out,’ and when he has come back, he finds it empty, swept, and put in order.


Then he goes, and takes with himself seven other spirits more evil than he is, and they enter in and dwell there. The last state of that man becomes worse than the first. Even so will it be also to this evil generation.”
",last-journey-to-jerusalem;ministry-in-galilee,The Return of the Unclean Evil Spirit
187,Luke 11:24-26,"
The unclean spirit, when he has gone out of the man, passes through dry places, seeking rest, and finding none, he says, ‘I will turn back to my house from which I came out.’


When he returns, he finds it swept and put in order.


Then he goes, and takes seven other spirits more evil than himself, and they enter in and dwell there. The last state of that man becomes worse than the first.”
",last-journey-to-jerusalem;ministry-in-galilee,The Return of the Unclean Evil Spirit
188,Matthew 12:46-50,"While he was yet speaking to the multitudes, behold, his mother and his brothers stood outside, seeking to speak to him.
One said to him, “Behold, your mother and your brothers stand outside, seeking to speak to you.”
But he answered him who spoke to him,
“Who is my mother? Who are my brothers?”
He stretched out his hand towards his disciples, and said,
“Behold, my mother and my brothers!


For whoever does the will of my Father who is in heaven, he is my brother, and sister, and mother.”
",ministry-in-galilee,Jesus' True Kindred Relatives
189,Mark 3:31-35,"His mother and his brothers came, and standing outside, they sent to him, calling him.
A multitude was sitting around him, and they told him, “Behold, your mother, your brothers, and your sisters are outside looking for you.”
He answered them,
“Who are my mother and my brothers?”
Looking around at those who sat around him, he said,
“Behold, my mother and my brothers!


For whoever does the will of God, the same is my brother, and my sister, and mother.”
",ministry-in-galilee,Jesus' True Kindred Relatives
190,Luke 8:19-21,"His mother and brothers came to him, and they could not come near him for the crowd.
Some people told him, “Your mother and your brothers stand outside, desiring to see you.”
But he answered them,
“My mother and my brothers are these who hear the word of God, and do it.”
",ministry-in-galilee,Jesus' True Kindred Relatives
191,John 15:14,"
You are my friends, if you do whatever I command you.

",ministry-in-galilee,Jesus' True Kindred Relatives
192,Matthew 13:1-9,"On that day Jesus went out of the house, and sat by the seaside.
Great multitudes gathered to him, so that he entered into a boat, and sat, and all the multitude stood on the beach.
He spoke to them many things in parables, saying,
“Behold, a farmer went out to sow.


As he sowed, some seeds fell by the roadside, and the birds came and devoured them.


Others fell on rocky ground, where they didn’t have much soil, and immediately they sprang up, because they had no depth of earth.


When the sun had risen, they were scorched. Because they had no root, they withered away.


Others fell among thorns. The thorns grew up and choked them.


Others fell on good soil, and yielded fruit: some one hundred times as much, some sixty, and some thirty.


He who has ears to hear, let him hear.”
",ministry-in-galilee,The Parable of the Sower
193,Mark 4:1-9,"Again he began to teach by the seaside. A great multitude was gathered to him, so that he entered into a boat in the sea, and sat down. All the multitude were on the land by the sea.
He taught them many things in parables, and told them in his teaching,

“Listen! Behold, the farmer went out to sow,


and as he sowed, some seed fell by the road, and the birds
came and devoured it.


Others fell on the rocky ground, where it had little soil, and immediately it sprang up, because it had no depth of soil.


When the sun had risen, it was scorched; and because it had no root, it withered away.


Others fell among the thorns, and the thorns grew up, and choked it, and it yielded no fruit.


Others fell into the good ground, and yielded fruit, growing up and increasing. Some produced thirty times, some sixty times, and some one hundred times as much.”
He said,
“Whoever has ears to hear, let him hear.”
",ministry-in-galilee,The Parable of the Sower
194,Luke 8:4-8,"When a great multitude came together, and people from every city were coming to him, he spoke by a parable.

“The farmer went out to sow his seed. As he sowed, some fell along the road, and it was trampled under foot, and the birds of the sky devoured it.


Other seed fell on the rock, and as soon as it grew, it withered away, because it had no moisture.


Other fell amid the thorns, and the thorns grew with it, and choked it.


Other fell into the good ground, and grew, and produced one hundred times as much fruit.” As he said these things, he called out,
“He who has ears to hear, let him hear!”
",ministry-in-galilee,The Parable of the Sower
195,Matthew 13:10-17,"The disciples came, and said to him, “Why do you speak to them in parables?”
He answered them,
“To you it is given to know the mysteries of the Kingdom of Heaven, but it is not given to them.


For whoever has, to him will be given, and he will have abundance, but whoever doesn’t have, from him will be taken away even that which he has.


Therefore I speak to them in parables, because seeing they don’t see, and hearing, they don’t hear, neither do they understand.


In them the prophecy of Isaiah is fulfilled, which says,

‘By hearing you will hear,
and will in no way understand;
Seeing you will see,
and will in no way perceive:

for this people’s heart has grown callous,
their ears are dull of hearing,
they have closed their eyes;
or else perhaps they might perceive with their eyes,
hear with their ears,
understand with their heart,
and would turn again;
and I would heal them.’

“But blessed are your eyes, for they see; and your ears, for they hear.


For most certainly I tell you that many prophets and righteous men desired to see the things which you see, and didn’t see them; and to hear the things which you hear, and didn’t hear them.
",ministry-in-galilee,The Reason for Speaking in Parables
196,Mark 4:10-12,"When he was alone, those who were around him with the twelve asked him about the parables.
He said to them,
“To you is given the mystery of God’s Kingdom, but to those who are outside, all things are done in parables,


that ‘seeing they may see, and not perceive; and hearing they may hear, and not understand; lest perhaps they should turn again, and their sins should be forgiven them.’”
",ministry-in-galilee,The Reason for Speaking in Parables
197,Mark 4:25,"
For whoever has, to him will more be given, and he who doesn’t have, even that which he has will be taken away from him.”
",ministry-in-galilee,The Reason for Speaking in Parables
198,Luke 8:9-10,"Then his disciples asked him, “What does this parable mean?”
He said,
“To you it is given to know the mysteries of God’s Kingdom, but to the rest in parables; that ‘seeing they may not see, and hearing they may not understand.’
",ministry-in-galilee,The Reason for Speaking in Parables
199,Luke 8:18,"
Be careful therefore how you hear. For whoever has, to him will be given; and whoever doesn’t have, from him will be taken away even that which he thinks he has.”
",ministry-in-galilee,The Reason for Speaking in Parables
200,Luke 10:23-24,"Turning to the disciples, he said privately,
“Blessed are the eyes which see the things that you see,


for I tell you that many prophets and kings desired to see the things which you see, and didn’t see them, and to hear the things which you hear, and didn’t hear them.”
",ministry-in-galilee,The Reason for Speaking in Parables
201,Matthew 13:18-23,"
“Hear, then, the parable of the farmer.


When anyone hears the word of the Kingdom, and doesn’t understand it, the evil one comes, and snatches away that which has been sown in his heart. This is what was sown by the roadside.


What was sown on the rocky places, this is he who hears the word, and immediately with joy receives it;


yet he has no root in himself, but endures for a while. When oppression or persecution arises because of the word, immediately he stumbles.


What was sown among the thorns, this is he who hears the word, but the cares of this age and the deceitfulness of riches choke the word, and he becomes unfruitful.


What was sown on the good ground, this is he who hears the word, and understands it, who most certainly bears fruit, and produces, some one hundred times as much, some sixty, and some thirty.”
",ministry-in-galilee,Interpretation of the Parable of the Sower
202,Mark 4:13-20,"He said to them,
“Don’t you understand this parable? How will you understand all of the parables?


The farmer sows the word.


The ones by the road are the ones where the word is sown; and when they have heard, immediately Satan comes, and takes away the word which has been sown in them.


These in the same way are those who are sown on the rocky places, who, when they have heard the word, immediately receive it with joy.


They have no root in themselves, but are short-lived. When oppression or persecution arises because of the word, immediately they stumble.


Others are those who are sown among the thorns. These are those who have heard the word,


and the cares of this age, and the deceitfulness of riches, and the lusts of other things entering in choke the word, and it becomes unfruitful.


Those which were sown on the good ground are those who hear the word, and accept it, and bear fruit, some thirty times, some sixty times, and some one hundred times.”
",ministry-in-galilee,Interpretation of the Parable of the Sower
203,Luke 8:11-15,"
Now the parable is this: The seed is the word of God.


Those along the road are those who hear, then the devil comes, and takes away the word from their heart, that they may not believe and be saved.


Those on the rock are they who, when they hear, receive the word with joy; but these have no root, who believe for a while, then fall away in time of temptation.


That which fell among the thorns, these are those who have heard, and as they go on their way they are choked with cares, riches, and pleasures of life, and bring no fruit to maturity.


Those in the good ground, these are those who with an honest and good heart, having heard the word, hold it tightly, and produce fruit with perseverance.
",ministry-in-galilee,Interpretation of the Parable of the Sower
204,Matthew 5:15,"
Neither do you light a lamp, and put it under a measuring basket, but on a stand; and it shines to all who are in the house.

",last-journey-to-jerusalem;ministry-in-galilee,Concerning Light
205,Matthew 7:2,"
For with whatever judgment you judge, you will be judged; and with whatever measure you measure, it will be measured to you.

",ministry-in-galilee,"“He who has Ears to Hear, Let him Hear”"
206,Matthew 10:26,"
Therefore don’t be afraid of them, for there is nothing covered that will not be revealed; and hidden that will not be known.

",ministry-in-galilee,"“He who has Ears to Hear, Let him Hear”"
207,Matthew 13:12,"
For whoever has, to him will be given, and he will have abundance, but whoever doesn’t have, from him will be taken away even that which he has.

",ministry-in-galilee,"“He who has Ears to Hear, Let him Hear”"
208,Mark 4:21-25,"He said to them,
“Is the lamp brought to be put under a basket

or under a bed? Isn’t it put on a stand?


For there is nothing hidden, except that it should be made known; neither was anything made secret, but that it should come to light.


If any man has ears to hear, let him hear.”
He said to them,
“Take heed what you hear. With whatever measure you measure, it will be measured to you, and more will be given to you who hear.


For whoever has, to him will more be given, and he who doesn’t have, even that which he has will be taken away from him.”
",ministry-in-galilee,"“He who has Ears to Hear, Let him Hear”"
209,Luke 8:16-18,"
“No one, when he has lit a lamp, covers it with a container, or puts it under a bed; but puts it on a stand, that those who enter in may see the light.


For nothing is hidden, that will not be revealed; nor anything secret, that will not be known and come to light.


Be careful therefore how you hear. For whoever has, to him will be given; and whoever doesn’t have, from him will be taken away even that which he thinks he has.”
",ministry-in-galilee,"“He who has Ears to Hear, Let him Hear”"
210,Mark 4:26-29,"He said,
“God’s Kingdom is as if a man should cast seed on the earth,


and should sleep and rise night and day, and the seed should spring up and grow, though he doesn’t know how.


For the earth bears fruit: first the blade, then the ear, then the full grain in the ear.


But when the fruit is ripe, immediately he puts in the sickle, because the harvest has come.”
",ministry-in-galilee,The Parable of the Seed Growing Secretly
211,Matthew 13:24-30,"He set another parable before them, saying,
“The Kingdom of Heaven is like a man who sowed good seed in his field,


but while people slept, his enemy came and sowed darnel weeds
also among the wheat, and went away.


But when the blade sprang up and produced fruit, then the darnel weeds appeared also.


The servants of the householder came and said to him, ‘Sir, didn’t you sow good seed in your field? Where did these darnel weeds come from?’

“He said to them, ‘An enemy has done this.’
“The servants asked him, ‘Do you want us to go and gather them up?’


“But he said, ‘No, lest perhaps while you gather up the darnel weeds, you root up the wheat with them.


Let both grow together until the harvest, and in the harvest time I will tell the reapers, “First, gather up the darnel weeds, and bind them in bundles to burn them; but gather the wheat into my barn.”’”
",ministry-in-galilee,The Parable of the Tares (Weeds)
212,Matthew 13:31-32,"He set another parable before them, saying,
“The Kingdom of Heaven is like a grain of mustard seed, which a man took, and sowed in his field;


which indeed is smaller than all seeds. But when it is grown, it is greater than the herbs, and becomes a tree, so that the birds of the air come and lodge in its branches.”
",last-journey-to-jerusalem;ministry-in-galilee,The Parable of the Mustard Seed
213,Mark 4:30-32,"He said,
“How will we liken God’s Kingdom? Or with what parable will we illustrate it?


It’s like a grain of mustard seed, which, when it is sown in the earth, though it is less than all the seeds that are on the earth,


yet when it is sown, grows up, and becomes greater than all the herbs, and puts out great branches, so that the birds of the sky can lodge under its shadow.”
",last-journey-to-jerusalem;ministry-in-galilee,The Parable of the Mustard Seed
214,Luke 13:18-19,"He said,
“What is God’s Kingdom like? To what shall I compare it?


It is like a grain of mustard seed, which a man took, and put in his own garden. It grew, and became a large tree, and the birds of the sky live in its branches.”
",last-journey-to-jerusalem;ministry-in-galilee,The Parable of the Mustard Seed
215,Matthew 13:33,"He spoke another parable to them.
“The Kingdom of Heaven is like yeast, which a woman took, and hid in three measures
of meal, until it was all leavened.”
",last-journey-to-jerusalem;ministry-in-galilee,The Parable of the Leaven (Yeast)
216,Luke 13:20-21,"Again he said,
“To what shall I compare God’s Kingdom?


It is like yeast, which a woman took and hid in three measures

of flour, until it was all leavened.”
",last-journey-to-jerusalem;ministry-in-galilee,The Parable of the Leaven (Yeast)
217,Matthew 13:34-35,"Jesus spoke all these things in parables to the multitudes; and without a parable, he didn’t speak to them,
that it might be fulfilled which was spoken through the prophet, saying,
“I will open my mouth in parables;
I will utter things hidden from the foundation of the world.”
",ministry-in-galilee,Jesus' Use of Parables
218,Mark 4:33-34,"With many such parables he spoke the word to them, as they were able to hear it.
Without a parable he didn’t speak to them; but privately to his own disciples he explained everything.
",ministry-in-galilee,Jesus' Use of Parables
219,Matthew 13:36-43,"Then Jesus sent the multitudes away, and went into the house. His disciples came to him, saying, “Explain to us the parable of the darnel weeds of the field.”
He answered them,
“He who sows the good seed is the Son of Man,


the field is the world; and the good seed, these are the children of the Kingdom; and the darnel weeds are the children of the evil one.


The enemy who sowed them is the devil. The harvest is the end of the age, and the reapers are angels.


As therefore the darnel weeds are gathered up and burned with fire; so will it be at the end of this age.


The Son of Man will send out his angels, and they will gather out of his Kingdom all things that cause stumbling, and those who do iniquity,


and will cast them into the furnace of fire. There will be weeping and the gnashing of teeth.


Then the righteous will shine like the sun in the Kingdom of their Father. He who has ears to hear, let him hear.
",ministry-in-galilee,Interpretation of the Parable of the Tares
220,Matthew 13:44-46,"
“Again, the Kingdom of Heaven is like treasure hidden in the field, which a man found, and hid. In his joy, he goes and sells all that he has, and buys that field.

“Again, the Kingdom of Heaven is like a man who is a merchant seeking fine pearls,


who having found one pearl of great price, he went and sold all that he had, and bought it.
",ministry-in-galilee,The Parables of the Hidden Treasure and of the Pearl
221,Matthew 13:47-50,"
“Again, the Kingdom of Heaven is like a dragnet, that was cast into the sea, and gathered some fish of every kind,


which, when it was filled, they drew up on the beach. They sat down, and gathered the good into containers, but the bad they threw away.


So will it be in the end of the world. The angels will come and separate the wicked from among the righteous,


and will cast them into the furnace of fire. There will be the weeping and the gnashing of teeth.”
",ministry-in-galilee,The Parable of the Net
222,Matthew 13:51-52,"Jesus said to them,
“Have you understood all these things?”

They answered him, “Yes, Lord.”
He said to them,
“Therefore every scribe who has been made a disciple in the Kingdom of Heaven is like a man who is a householder, who brings out of his treasure new and old things.”
",ministry-in-galilee,Treasures New and Old
223,John 5:1,"After these things, there was a feast of the Jews, and Jesus went up to Jerusalem.
",ministry-in-galilee,Second Journey (to Jerusalem)
224,John 5:2-47,"Now in Jerusalem by the sheep gate, there is a pool, which is called in Hebrew, “Bethesda”, having five porches.
In these lay a great multitude of those who were sick, blind, lame, or paralyzed, waiting for the moving of the water;
for an angel went down at certain times into the pool, and stirred up the water. Whoever stepped in first after the stirring of the water was healed of whatever disease he had.
A certain man was there, who had been sick for thirty-eight years.
When Jesus saw him lying there, and knew that he had been sick for a long time, he asked him,
“Do you want to be made well?”
The sick man answered him, “Sir, I have no one to put me into the pool when the water is stirred up, but while I’m coming, another steps down before me.”
Jesus said to him,
“Arise, take up your mat, and walk.”
Immediately, the man was made well, and took up his mat and walked.
Now it was the Sabbath on that day.
So the Jews said to him who was cured, “It is the Sabbath. It is not lawful for you to carry the mat.”
He answered them, “He who made me well, the same said to me,
‘Take up your mat, and walk.’”
Then they asked him, “Who is the man who said to you,
‘Take up your mat, and walk’?”
But he who was healed didn’t know who it was, for Jesus had withdrawn, a crowd being in the place.
Afterward Jesus found him in the temple, and said to him,
“Behold, you are made well. Sin no more, so that nothing worse happens to you.”

The man went away, and told the Jews that it was Jesus who had made him well.
For this cause the Jews persecuted Jesus, and sought to kill him, because he did these things on the Sabbath.
But Jesus answered them,
“My Father is still working, so I am working, too.”
For this cause therefore the Jews sought all the more to kill him, because he not only broke the Sabbath, but also called God his own Father, making himself equal with God.
Jesus therefore answered them,
“Most certainly, I tell you, the Son can do nothing of himself, but what he sees the Father doing. For whatever things he does, these the Son also does likewise.


For the Father has affection for the Son, and shows him all things that he himself does. He will show him greater works than these, that you may marvel.


For as the Father raises the dead and gives them life, even so the Son also gives life to whom he desires.


For the Father judges no one, but he has given all judgment to the Son,


that all may honor the Son, even as they honor the Father. He who doesn’t honor the Son doesn’t honor the Father who sent him.

“Most certainly I tell you, he who hears my word, and believes him who sent me, has eternal life, and doesn’t come into judgment, but has passed out of death into life.


Most certainly, I tell you, the hour comes, and now is, when the dead will hear the Son of God’s voice; and those who hear will live.


For as the Father has life in himself, even so he gave to the Son also to have life in himself.


He also gave him authority to execute judgment, because he is a son of man.


Don’t marvel at this, for the hour comes, in which all that are in the tombs will hear his voice,


and will come out; those who have done good, to the resurrection of life; and those who have done evil, to the resurrection of judgment.


I can of myself do nothing. As I hear, I judge, and my judgment is righteous; because I don’t seek my own will, but the will of my Father who sent me.

“If I testify about myself, my witness is not valid.


It is another who testifies about me. I know that the testimony which he testifies about me is true.


You have sent to John, and he has testified to the truth.


But the testimony which I receive is not from man. However, I say these things that you may be saved.


He was the burning and shining lamp, and you were willing to rejoice for a while in his light.


But the testimony which I have is greater than that of John, for the works which the Father gave me to accomplish, the very works that I do, testify about me, that the Father has sent me.


The Father himself, who sent me, has testified about me. You have neither heard his voice at any time, nor seen his form.


You don’t have his word living in you; because you don’t believe him whom he sent.

“You search the Scriptures, because you think that in them you have eternal life; and these are they which testify about me.


Yet you will not come to me, that you may have life.


I don’t receive glory from men.


But I know you, that you don’t have God’s love in yourselves.


I have come in my Father’s name, and you don’t receive me. If another comes in his own name, you will receive him.


How can you believe, who receive glory from one another, and you don’t seek the glory that comes from the only God?

“Don’t think that I will accuse you to the Father. There is one who accuses you, even Moses, on whom you have set your hope.


For if you believed Moses, you would believe me; for he wrote about me.


But if you don’t believe his writings, how will you believe my words?”
",ministry-in-galilee,The Healing at the Pool called Bethesda
225,Matthew 9:35,"Jesus went about all the cities and the villages, teaching in their synagogues, and preaching the Good News of the Kingdom, and healing every disease and every sickness among the people.
",ministry-in-galilee,Commissioning the Twelve
226,Mark 6:6-13,"He marveled because of their unbelief.
He went around the villages teaching.
He called to himself the twelve, and began to send them out two by two; and he gave them authority over the unclean spirits.
He commanded them that they should take nothing for their journey, except a staff only: no bread, no wallet, no money in their purse,
but to wear sandals, and not put on two tunics.
He said to them,
“Wherever you enter into a house, stay there until you depart from there.


Whoever will not receive you nor hear you, as you depart from there, shake off the dust that is under your feet for a testimony against them. Assuredly, I tell you, it will be more tolerable for Sodom and Gomorrah in the day of judgment than for that city!”
They went out and preached that people should repent.
They cast out many demons, and anointed many with oil who were sick, and healed them.
",ministry-in-galilee,Commissioning the Twelve
227,Matthew 14:1-2,"At that time, Herod the tetrarch heard the report concerning Jesus,
and said to his servants, “This is John the Baptizer. He is risen from the dead. That is why these powers work in him.”
",ministry-in-galilee,"Herod Thinks Jesus is John, Raised"
228,Mark 6:14-16,"King Herod heard this, for his name had become known, and he said, “John the Baptizer has risen from the dead, and therefore these powers are at work in him.”
But others said, “He is Elijah.” Others said, “He is a prophet, or like one of the prophets.”
But Herod, when he heard this, said, “This is John, whom I beheaded. He has risen from the dead.”
",ministry-in-galilee,"Herod Thinks Jesus is John, Raised"
229,Luke 9:7-9,"Now Herod the tetrarch heard of all that was done by him; and he was very perplexed, because it was said by some that John had risen from the dead,
and by some that Elijah had appeared, and by others that one of the old prophets had risen again.
Herod said, “John I beheaded, but who is this, about whom I hear such things?” He sought to see him.
",ministry-in-galilee,"Herod Thinks Jesus is John, Raised"
230,Matthew 14:3-12,"For Herod had laid hold of John, and bound him, and put him in prison for the sake of Herodias, his brother Philip’s wife.
For John said to him, “It is not lawful for you to have her.”
When he would have put him to death, he feared the multitude, because they counted him as a prophet.
But when Herod’s birthday came, the daughter of Herodias danced among them and pleased Herod.
Whereupon he promised with an oath to give her whatever she should ask.
She, being prompted by her mother, said, “Give me here on a platter the head of John the Baptizer.”
The king was grieved, but for the sake of his oaths, and of those who sat at the table with him, he commanded it to be given,
and he sent and beheaded John in the prison.
His head was brought on a platter, and given to the young lady: and she brought it to her mother.
His disciples came, and took the body, and buried it; and they went and told Jesus.
",ministry-in-galilee,The Death of John the Baptist
231,Mark 6:17-29,"For Herod himself had sent out and arrested John, and bound him in prison for the sake of Herodias, his brother Philip’s wife, for he had married her.
For John said to Herod, “It is not lawful for you to have your brother’s wife.”
Herodias set herself against him, and desired to kill him, but she couldn’t,
for Herod feared John, knowing that he was a righteous and holy man, and kept him safe. When he heard him, he did many things, and he heard him gladly.
Then a convenient day came, that Herod on his birthday made a supper for his nobles, the high officers, and the chief men of Galilee.
When the daughter of Herodias herself came in and danced, she pleased Herod and those sitting with him. The king said to the young lady, “Ask me whatever you want, and I will give it to you.”
He swore to her, “Whatever you shall ask of me, I will give you, up to half of my kingdom.”
She went out, and said to her mother, “What shall I ask?”
She said, “The head of John the Baptizer.”
She came in immediately with haste to the king, and asked, “I want you to give me right now the head of John the Baptizer on a platter.”
The king was exceedingly sorry, but for the sake of his oaths, and of his dinner guests, he didn’t wish to refuse her.
Immediately the king sent out a soldier of his guard, and commanded to bring John’s head, and he went and beheaded him in the prison,
and brought his head on a platter, and gave it to the young lady; and the young lady gave it to her mother.
When his disciples heard this, they came and took up his corpse, and laid it in a tomb.
",ministry-in-galilee,The Death of John the Baptist
232,Mark 6:30-31,"The apostles gathered themselves together to Jesus, and they told him all things, whatever they had done, and whatever they had taught.
He said to them,
“You come apart into a deserted place, and rest awhile.” For there were many coming and going, and they had no leisure so much as to eat.
",ministry-in-galilee,The Return of the Apostles
233,Luke 9:10,"The apostles, when they had returned, told him what things they had done.
He took them, and withdrew apart to a desert region of a city called Bethsaida.
",ministry-in-galilee,The Return of the Apostles
234,Matthew 14:13-21,"Now when Jesus heard this, he withdrew from there in a boat, to a deserted place apart. When the multitudes heard it, they followed him on foot from the cities.
Jesus went out, and he saw a great multitude. He had compassion on them, and healed their sick.
When evening had come, his disciples came to him, saying, “This place is deserted, and the hour is already late. Send the multitudes away, that they may go into the villages, and buy themselves food.”
But Jesus said to them,
“They don’t need to go away. You give them something to eat.”
They told him, “We only have here five loaves and two fish.”
He said,
“Bring them here to me.”
He commanded the multitudes to sit down on the grass; and he took the five loaves and the two fish, and looking up to heaven, he blessed, broke and gave the loaves to the disciples, and the disciples gave to the multitudes.
They all ate, and were filled. They took up twelve baskets full of that which remained left over from the broken pieces.
Those who ate were about five thousand men, besides women and children.
",ministry-in-galilee,Feeding the Five Thousand
235,Mark 6:32-44,"They went away in the boat to a deserted place by themselves.
They saw them going, and many recognized him and ran there on foot from all the cities. They arrived before them and came together to him.
Jesus came out, saw a great multitude, and he had compassion on them, because they were like sheep without a shepherd, and he began to teach them many things.
When it was late in the day, his disciples came to him, and said, “This place is deserted, and it is late in the day.
Send them away, that they may go into the surrounding country and villages, and buy themselves bread, for they have nothing to eat.”
But he answered them,
“You give them something to eat.”
They asked him, “Shall we go and buy two hundred denarii worth of bread, and give them something to eat?”
He said to them,
“How many loaves do you have? Go see.”
When they knew, they said, “Five, and two fish.”
He commanded them that everyone should sit down in groups on the green grass.
They sat down in ranks, by hundreds and by fifties.
He took the five loaves and the two fish, and looking up to heaven, he blessed and broke the loaves, and he gave to his disciples to set before them, and he divided the two fish among them all.
They all ate, and were filled.
They took up twelve baskets full of broken pieces and also of the fish.
Those who ate the loaves were five thousand men.
",ministry-in-galilee,Feeding the Five Thousand
236,Luke 9:10-17,"The apostles, when they had returned, told him what things they had done.
He took them, and withdrew apart to a desert region of a city called Bethsaida.
But the multitudes, perceiving it, followed him. He welcomed them, and spoke to them of God’s Kingdom, and he cured those who needed healing.
The day began to wear away; and the twelve came, and said to him, “Send the multitude away, that they may go into the surrounding villages and farms, and lodge, and get food, for we are here in a deserted place.”
But he said to them,
“You give them something to eat.”
They said, “We have no more than five loaves and two fish, unless we should go and buy food for all these people.”
For they were about five thousand men.
He said to his disciples,
“Make them sit down in groups of about fifty each.”
They did so, and made them all sit down.
He took the five loaves and the two fish, and looking up to the sky, he blessed them, and broke them, and gave them to the disciples to set before the multitude.
They ate, and were all filled. They gathered up twelve baskets of broken pieces that were left over.
",ministry-in-galilee,Feeding the Five Thousand
